DBCODE,ENTITY,WATERSHED,YEAR,PLOTID,HABTYPE,PLOT,TREE_SPP,SAPCOUNT,SEEDLCNT
TP041,6,WS10,1973,"WS100001",4,1,PILA,,1
TP041,6,WS10,1973,"WS100001",4,1,PSME,,9
TP041,6,WS10,1973,"WS100001",4,1,THPL,4,2
TP041,6,WS10,1973,"WS100001",4,1,TSHE,1,4
TP041,6,WS10,1973,"WS100002",4,2,PSME,4,
TP041,6,WS10,1973,"WS100002",4,2,TSHE,2,
TP041,6,WS10,1973,"WS100003",4,3,PILA,1,
TP041,6,WS10,1973,"WS100003",4,3,PSME,1,2
TP041,6,WS10,1973,"WS100003",4,3,THPL,4,6
TP041,6,WS10,1973,"WS100003",4,3,TSHE,6,5
TP041,6,WS10,1973,"WS100004",2,4,TABR,2,5
TP041,6,WS10,1973,"WS100004",2,4,TSHE,7,5
TP041,6,WS10,1973,"WS100005",3,5,TABR,4,2
TP041,6,WS10,1973,"WS100005",3,5,THPL,,1
TP041,6,WS10,1973,"WS100005",3,5,TSHE,2,2
TP041,6,WS10,1973,"WS100006",2,6,PSME,1,1
TP041,6,WS10,1973,"WS100006",2,6,THPL,4,
TP041,6,WS10,1973,"WS100006",2,6,TSHE,1,
TP041,6,WS10,1973,"WS100007",2,7,TABR,1,
TP041,6,WS10,1973,"WS100007",2,7,THPL,2,
TP041,6,WS10,1973,"WS100007",2,7,TSHE,1,4
TP041,6,WS10,1973,"WS100008",2,8,THPL,5,
TP041,6,WS10,1973,"WS100008",2,8,TSHE,10,6
TP041,6,WS10,1973,"WS100009",4,9,ACMA,2,
TP041,6,WS10,1973,"WS100009",4,9,PSME,,1
TP041,6,WS10,1973,"WS100009",4,9,TABR,,1
TP041,6,WS10,1973,"WS100009",4,9,TSHE,,7
TP041,6,WS10,1973,"WS100010",3,10,PSME,19,3
TP041,6,WS10,1973,"WS100010",3,10,TABR,,2
TP041,6,WS10,1973,"WS100010",3,10,TSHE,,6
TP041,6,WS10,1973,"WS100011",1,11,TABR,7,2
TP041,6,WS10,1973,"WS100011",1,11,THPL,1,2
TP041,6,WS10,1973,"WS100011",1,11,TSHE,2,6
TP041,6,WS10,1973,"WS100012",4,12,LIDE2,,1
TP041,6,WS10,1973,"WS100012",4,12,PILA,,1
TP041,6,WS10,1973,"WS100012",4,12,PSME,1,11
TP041,6,WS10,1973,"WS100012",4,12,TABR,,1
TP041,6,WS10,1973,"WS100012",4,12,TSHE,3,4
TP041,6,WS10,1973,"WS100013",4,13,PILA,3,7
TP041,6,WS10,1973,"WS100013",4,13,PSME,2,23
TP041,6,WS10,1973,"WS100013",4,13,TABR,,3
TP041,6,WS10,1973,"WS100013",4,13,TSHE,,1
TP041,6,WS10,1973,"WS100014",4,14,PILA,,3
TP041,6,WS10,1973,"WS100014",4,14,PSME,2,20
TP041,6,WS10,1973,"WS100014",4,14,TABR,,1
TP041,6,WS10,1973,"WS100014",4,14,TSHE,2,4
TP041,6,WS10,1973,"WS100015",4,15,PILA,3,1
TP041,6,WS10,1973,"WS100015",4,15,PSME,21,2
TP041,6,WS10,1973,"WS100015",4,15,TABR,,1
TP041,6,WS10,1973,"WS100016",4,16,PSME,3,1
TP041,6,WS10,1973,"WS100016",4,16,TSHE,,2
TP041,6,WS10,1973,"WS100017",4,17,PSME,2,
TP041,6,WS10,1973,"WS100017",4,17,TABR,1,5
TP041,6,WS10,1973,"WS100017",4,17,TSHE,6,5
TP041,6,WS10,1973,"WS100018",1,18,LIDE2,,2
TP041,6,WS10,1973,"WS100018",1,18,TABR,1,1
TP041,6,WS10,1973,"WS100018",1,18,THPL,,1
TP041,6,WS10,1973,"WS100018",1,18,TSHE,11,
TP041,6,WS10,1973,"WS100019",4,19,PILA,3,2
TP041,6,WS10,1973,"WS100019",4,19,PSME,8,7
TP041,6,WS10,1973,"WS100019",4,19,TABR,,3
TP041,6,WS10,1973,"WS100020",4,20,PILA,,3
TP041,6,WS10,1973,"WS100020",4,20,PSME,,1
TP041,6,WS10,1973,"WS100020",4,20,TSHE,,1
TP041,6,WS10,1973,"WS100021",4,21,PILA,4,1
TP041,6,WS10,1973,"WS100021",4,21,PSME,,6
TP041,6,WS10,1973,"WS100021",4,21,TABR,1,4
TP041,6,WS10,1973,"WS100021",4,21,THPL,1,
TP041,6,WS10,1973,"WS100022",4,22,PILA,2,2
TP041,6,WS10,1973,"WS100022",4,22,PSME,,7
TP041,6,WS10,1973,"WS100022",4,22,TABR,,1
TP041,6,WS10,1973,"WS100022",4,22,TSHE,,1
TP041,6,WS10,1973,"WS100023",3,23,TABR,2,
TP041,6,WS10,1973,"WS100023",3,23,TSHE,2,3
TP041,6,WS10,1973,"WS100024",3,24,PSME,5,
TP041,6,WS10,1973,"WS100024",3,24,TSHE,3,8
TP041,6,WS10,1973,"WS100025",1,25,TABR,4,
TP041,6,WS10,1973,"WS100025",1,25,TSHE,3,3
TP041,6,WS10,1973,"WS100026",2,26,PILA,,3
TP041,6,WS10,1973,"WS100026",2,26,TABR,1,
TP041,6,WS10,1973,"WS100026",2,26,TSHE,11,5
TP041,6,WS10,1973,"WS100027",2,27,PSME,2,3
TP041,6,WS10,1973,"WS100027",2,27,TABR,1,
TP041,6,WS10,1973,"WS100027",2,27,TSHE,,3
TP041,6,WS10,1973,"WS100028",2,28,PILA,3,
TP041,6,WS10,1973,"WS100028",2,28,PSME,15,1
TP041,6,WS10,1973,"WS100028",2,28,TABR,1,2
TP041,6,WS10,1973,"WS100028",2,28,TSHE,4,2
TP041,6,WS10,1973,"WS100029",2,29,TABR,,2
TP041,6,WS10,1973,"WS100029",2,29,TSHE,2,3
TP041,6,WS10,1973,"WS100030",2,30,PSME,3,
TP041,6,WS10,1973,"WS100030",2,30,TABR,,1
TP041,6,WS10,1973,"WS100030",2,30,TSHE,4,7
TP041,6,WS10,1973,"WS100031",3,31,PILA,1,
TP041,6,WS10,1973,"WS100031",3,31,TABR,,2
TP041,6,WS10,1973,"WS100031",3,31,TSHE,,3
TP041,6,WS10,1973,"WS100032",3,32,PILA,1,
TP041,6,WS10,1973,"WS100032",3,32,PSME,19,2
TP041,6,WS10,1973,"WS100032",3,32,TABR,2,
TP041,6,WS10,1973,"WS100032",3,32,TSHE,7,6
TP041,6,WS10,1973,"WS100033",3,33,PSME,2,1
TP041,6,WS10,1973,"WS100033",3,33,TABR,3,2
TP041,6,WS10,1973,"WS100033",3,33,TSHE,8,4
TP041,6,WS10,1973,"WS100034",2,34,TABR,7,7
TP041,6,WS10,1973,"WS100034",2,34,THPL,3,3
TP041,6,WS10,1973,"WS100034",2,34,TSHE,3,11
TP041,6,WS10,1973,"WS100035",1,35,PSME,2,2
TP041,6,WS10,1973,"WS100035",1,35,TABR,,2
TP041,6,WS10,1973,"WS100035",1,35,TSHE,1,4
TP041,6,WS10,1973,"WS100036",4,36,PSME,7,2
TP041,6,WS10,1973,"WS100036",4,36,TABR,1,4
TP041,6,WS10,1973,"WS100036",4,36,TSHE,5,7
