DATASET_CODE,COLLECTION_DATE,LOCATION,SAMPLE_TYPE,DEPTH_M,CONDUCTIVITY_MS_CM,TEMPERATURE_C,PAR_UMOL_M2_S,COMMENTS
LIMNO_TLICE_CTP,1/27/2018,East Lake Bonney,water column,5,,,11.27,Conductivity; temperature collected by limno team.
LIMNO_TLICE_CTP,1/27/2018,East Lake Bonney,water column,6,,,9.58,Conductivity; temperature collected by limno team.
LIMNO_TLICE_CTP,1/27/2018,East Lake Bonney,water column,7,,,8.49,Conductivity; temperature collected by limno team.
LIMNO_TLICE_CTP,1/27/2018,East Lake Bonney,water column,8,,,7.5,Conductivity; temperature collected by limno team.
LIMNO_TLICE_CTP,1/27/2018,East Lake Bonney,water column,9,,,6.79,Conductivity; temperature collected by limno team.
LIMNO_TLICE_CTP,1/27/2018,East Lake Bonney,water column,10,,,6.17,Conductivity; temperature collected by limno team.
LIMNO_TLICE_CTP,1/27/2018,East Lake Bonney,water column,11,,,5.68,Conductivity; temperature collected by limno team.
LIMNO_TLICE_CTP,1/27/2018,East Lake Bonney,water column,12,,,5.02,Conductivity; temperature collected by limno team.
LIMNO_TLICE_CTP,1/27/2018,East Lake Bonney,water column,13,,,4.36,Conductivity; temperature collected by limno team.
LIMNO_TLICE_CTP,1/27/2018,East Lake Bonney,water column,14,,,3.82,Conductivity; temperature collected by limno team.
LIMNO_TLICE_CTP,1/27/2018,East Lake Bonney,water column,15,,,3.33,Conductivity; temperature collected by limno team.
LIMNO_TLICE_CTP,1/27/2018,East Lake Bonney,water column,16,,,2.79,Conductivity; temperature collected by limno team.
LIMNO_TLICE_CTP,1/27/2018,East Lake Bonney,water column,17,,,2.3,Conductivity; temperature collected by limno team.
LIMNO_TLICE_CTP,1/27/2018,East Lake Bonney,water column,18,,,2.06,Conductivity; temperature collected by limno team.
LIMNO_TLICE_CTP,1/27/2018,East Lake Bonney,water column,19,,,1.81,Conductivity; temperature collected by limno team.
LIMNO_TLICE_CTP,1/27/2018,East Lake Bonney,water column,20,,,1.64,Conductivity; temperature collected by limno team.
LIMNO_TLICE_CTP,1/27/2018,East Lake Bonney,water column,21,,,1.43,Conductivity; temperature collected by limno team.
LIMNO_TLICE_CTP,1/27/2018,East Lake Bonney,water column,22,,,1.76,Conductivity; temperature collected by limno team.
LIMNO_TLICE_CTP,1/27/2018,East Lake Bonney,water column,23,,,1.08,Conductivity; temperature collected by limno team.
LIMNO_TLICE_CTP,1/27/2018,East Lake Bonney,water column,24,,,0.96,Conductivity; temperature collected by limno team.
LIMNO_TLICE_CTP,1/27/2018,East Lake Bonney,water column,25,,,0.83,Conductivity; temperature collected by limno team.
LIMNO_TLICE_CTP,1/27/2018,East Lake Bonney,water column,26,,,0.74,Conductivity; temperature collected by limno team.
LIMNO_TLICE_CTP,1/27/2018,East Lake Bonney,water column,27,,,0.65,Conductivity; temperature collected by limno team.
LIMNO_TLICE_CTP,1/27/2018,East Lake Bonney,water column,28,,,0.58,Conductivity; temperature collected by limno team.
LIMNO_TLICE_CTP,1/27/2018,East Lake Bonney,moat,0,12.8,0.3,204,
LIMNO_TLICE_CTP,1/27/2018,East Lake Bonney,moat,0,12.9,0.1,197,
LIMNO_TLICE_CTP,1/27/2018,East Lake Bonney,moat,0,10.8,0.1,195,
